,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.9,2,6.4,7.2,7.4,7.8,7.8,7.9,8,8.3,8.4,8.6,8.6,8.6,8.6,8.6,9.8,12.4,17.5,19.9
2,2,3,6.9,7.6,7.8,8.1,8.2,8.2,8.3,8.6,8.7,8.8,8.8,8.8,8.8,8.9,9.9,12.3,16.8,19
3,6.4,6.9,8.9,9.3,9.4,9.5,9.5,9.6,9.6,9.8,9.8,9.9,9.9,9.9,9.9,9.9,10.4,11.6,14,15.1
4,7.2,7.6,9.3,9.6,9.6,9.8,9.8,9.8,9.9,10,10,10.1,10.1,10.1,10.1,10.1,10.5,11.5,13.4,14.4
5,7.4,7.8,9.4,9.6,9.7,9.8,9.9,9.9,9.9,10,10.1,10.1,10.1,10.1,10.1,10.2,10.6,11.5,13.3,14.2
6,7.8,8.1,9.5,9.8,9.8,10,10,10,10,10.1,10.2,10.2,10.2,10.2,10.2,10.2,10.6,11.4,13.1,13.9
7,7.8,8.2,9.5,9.8,9.9,10,10,10,10.1,10.1,10.2,10.2,10.2,10.2,10.2,10.3,10.6,11.4,13.1,13.8
8,7.9,8.2,9.6,9.8,9.9,10,10,10,10.1,10.2,10.2,10.2,10.2,10.2,10.2,10.3,10.6,11.4,13,13.8
9,8,8.3,9.6,9.9,9.9,10,10.1,10.1,10.1,10.2,10.2,10.3,10.3,10.3,10.3,10.3,10.6,11.4,12.9,13.7
10,8.3,8.6,9.8,10,10,10.1,10.1,10.2,10.2,10.3,10.3,10.3,10.3,10.4,10.4,10.4,10.7,11.4,12.7,13.4
11,8.4,8.7,9.8,10,10.1,10.2,10.2,10.2,10.2,10.3,10.3,10.4,10.4,10.4,10.4,10.4,10.7,11.4,12.7,13.3
12,8.6,8.8,9.9,10.1,10.1,10.2,10.2,10.2,10.3,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.7,11.3,12.6,13.2
13,8.6,8.8,9.9,10.1,10.1,10.2,10.2,10.2,10.3,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.7,11.3,12.6,13.2
14,8.6,8.8,9.9,10.1,10.1,10.2,10.2,10.2,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.7,11.3,12.6,13.2
15,8.6,8.8,9.9,10.1,10.1,10.2,10.2,10.2,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.7,11.3,12.6,13.2
16,8.6,8.9,9.9,10.1,10.2,10.2,10.3,10.3,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.7,11.3,12.5,13.1
17,9.8,9.9,10.4,10.5,10.6,10.6,10.6,10.6,10.6,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.8,11.2,11.8,12.1
18,12.4,12.3,11.6,11.5,11.5,11.4,11.4,11.4,11.4,11.4,11.4,11.3,11.3,11.3,11.3,11.3,11.2,10.8,10.1,9.8
19,17.5,16.8,14,13.4,13.3,13.1,13.1,13,12.9,12.7,12.7,12.6,12.6,12.6,12.6,12.5,11.8,10.1,6.8,5.2
20,19.9,19,15.1,14.4,14.2,13.9,13.8,13.8,13.7,13.4,13.3,13.2,13.2,13.2,13.2,13.1,12.1,9.8,5.2,3.1
