,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,–22,–11,–10,–5,–1,12,17,14,20,14,11,21,16,13,12,8,1,–11,11,15
2,–11,–29,–20,–16,–4,–3,9,4,22,16,25,39,28,35,22,25,12,17,10,22
3,–9,–20,–28,–19,–8,–7,5,–6,25,15,18,38,20,40,21,29,12,28,12,23
4,–4,–16,–18,–28,–8,–11,–8,–8,12,15,13,39,21,37,7,29,19,34,22,21
5,–0,–5,–8,–8,–31,–19,–12,–21,4,14,15,22,15,16,1,19,17,15,2,10
6,10,–4,–9,–11,–18,–41,–25,–23,1,21,15,27,19,19,13,18,23,22,–4,10
7,20,8,7,–7,–12,–26,–40,–24,–12,6,–10,6,5,12,–4,13,22,18,–34,17
8,13,5,–4,–7,–19,–24,–23,–20,–9,–10,1,12,10,5,4,16,24,17,–18,13
9,21,25,26,15,9,5,–13,–7,–48,3,–11,–40,–29,–21,–6,–16,–4,–2,–9,–20
10,16,23,20,22,11,17,11,–3,10,4,38,–73,–82,–17,–23,–13,–10,1,6,22
11,13,33,25,19,18,16,–15,3,–12,24,9,–67,–72,–13,–17,–15,–8,–4,–21,23
12,22,45,44,48,29,34,7,13,–42,–71,–69,–20,–5,–53,–23,–39,–27,–23,–0,41
13,18,36,32,32,18,17,5,12,–31,–74,–73,–7,–4,–32,–15,–32,–20,5,–15,37
14,13,38,44,43,15,22,10,11,–18,–22,–9,–47,–30,–46,–21,–35,–29,–33,–12,22
15,13,27,30,17,9,14,9,2,–7,–24,–18,–25,–19,–30,–34,–21,–22,–11,–10,13
16,7,27,31,32,20,19,11,15,–15,–10,–13,–37,–22,–37,–18,–31,–23,–25,–12,3
17,2,12,12,19,15,25,27,24,–2,–12,–10,–27,–16,–28,–16,–20,–20,–19,–6,13
18,–12,18,30,33,13,23,17,19,–4,10,2,–24,11,–27,–7,–26,–19,–52,–6,5
19,8,10,11,21,2,–1,–29,–16,–1,16,–13,–3,–13,–11,–3,–13,–10,–9,–16,–4
20,16,21,23,22,15,10,15,12,–16,21,18,33,38,17,11,–1,11,–2,–2,–178
