,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,-0.27,0.08,0.17,0.05,0.33,-0.26,0.31,-0.15,-0.21,-0.31,0.08,-0.11,0.11,-0.09,0.5,-0.11,-0.17,-0.1,0.01,0.13
2,0.08,-0.38,-0.11,-0.08,-0.09,0,-0.27,0.01,0,-0.38,0.08,0.14,0.02,0.31,0.2,0.08,0.06,0.16,0.01,0.19
3,0.17,-0.11,-0.49,-0.33,-0.48,-0.22,-0.4,-0.27,0.03,0.2,0.25,0.27,0.11,0.22,0.3,0.05,0.4,0.35,-0.23,0.16
4,0.05,-0.08,-0.33,-0.37,-0.5,-0.3,0,-0.44,-0.12,-0.26,0.33,0.14,0.54,0.16,0.13,0.33,0.32,0.37,-0.02,0.11
5,0.33,-0.09,-0.48,-0.5,-0.42,-0.34,-0.3,-0.4,0.08,-0.31,0.26,0.04,0.41,0.23,0.34,0.17,0.52,0.21,0.25,0.01
6,-0.26,0,-0.22,-0.3,-0.34,-2.38,-0.08,0.49,0.1,0.44,0.02,0.46,0.06,1.46,0.72,0.21,-0.5,-0.121,-0.64,-0.15
7,0.31,-0.27,-0.4,0,-0.3,-0.08,-0.74,-0.14,-0.05,-0.2,0.25,0.19,0.09,0.32,0.13,0.27,0.61,0.3,-0.17,-0.14
8,-0.15,0.01,-0.27,-0.44,-0.4,0.49,-0.14,-0.71,-0.07,-0.13,-0.14,-0.02,0.55,-0.22,0.09,0.14,0.57,0.22,0.79,-0.19
9,-0.21,0,0.03,-0.12,0.08,0.1,-0.05,-0.07,0.2,-0.02,-0.03,0,-0.04,0.04,0.08,-0.21,0.14,-0.07,0.34,-0.13
10,-0.031,-0.38,0.2,-0.26,-0.31,0.44,-0.2,-0.13,-0.02,0.27,0.86,0.18,0.11,0.2,0.2,0.01,1,0.04,-0.05,-0.85
11,0.08,0.08,0.25,0.33,0.26,0.02,0.25,-0.14,-0.03,0.86,-0.14,-0.27,-0.13,-0.32,-0.25,0.1,-0.5,0.08,-0.38,-0.15
12,-0.11,0.14,0.27,0.14,0.04,0.46,0.19,-0.02,0,0.18,-0.27,-0.22,-0.26,-0.3,-0.07,-0.32,-0.29,0.38,-0.05,0.11
13,0.11,0.02,0.11,0.54,0.41,0.06,0.09,0.55,-0.04,0.11,-0.13,-0.26,-0.07,-0.51,0.17,0.21,-0.87,-0.87,0,0.36
14,-0.09,0.31,0.22,0.16,0.23,1.46,0.32,-0.22,0.04,0.2,-0.32,-0.3,-0.51,-0.4,-0.3,-0.05,-0.44,-0.02,-0.52,0.19
15,0.5,0.2,0.3,0.13,0.34,0.72,0.13,0.09,0.08,0.2,-0.25,-0.07,0.17,-0.3,-0.2,0.03,-1.11,-0.87,-0.1,0.01
16,-0.11,0.08,0.05,0.33,0.17,0.21,0.27,0.14,-0.21,0.01,0.1,-0.32,0.21,-0.05,0.03,-0.38,0,-0.11,-0.31,-0.11
17,-0.17,0.06,0.4,0.32,0.52,-0.5,0.61,0.57,0.14,1,-0.5,-0.29,-0.87,-0.44,-1.11,0,-0.22,0.15,-0.01,0.3
18,-0.1,0.16,0.35,0.37,0.21,-0.12,0.3,0.22,-0.07,0.04,0.08,0.38,-0.87,-0.02,-0.87,-0.11,0.15,-0.26,0.35,-0.17
19,0.01,0.01,-0.23,-0.02,0.25,-0.64,-0.17,0.79,0.34,-0.05,-0.38,-0.05,0,-0.52,-0.1,-0.31,-0.01,0.35,0.38,0.33
20,0.13,0.19,0.16,0.11,0.01,-0.15,-0.14,-0.19,-0.13,-0.85,-0.15,0.11,0.36,0.19,0.01,-0.11,0.3,-0.17,0.33,-0.03
