,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,2.689,4.659,6.911,8.319,8.6,8.881,9.163,10.57,10.57,10.71,10.85,12.68,12.68,12.82,13.1,13.95,15.36,16.62,17.61,19.16
2,4.656,6.63,8.881,10.29,10.57,10.85,11.13,12.54,12.54,12.68,12.82,14.65,14.65,14.79,15.07,15.92,17.33,18.59,19.58,17.19
3,6.911,8.881,11.13,12.54,12.82,3.1,13.39,14.79,14.79,14.93,15.07,16.9,16.9,17.04,17.33,18.17,19.58,19.16,18.17,14.93
4,8.319,10.29,12.54,13.95,14.23,14.51,14.79,16.2,16.2,16.34,16.48,18.31,18.31,18.45,18.73,19.58,19.01,17.75,16.76,13.53
5,8.6,10.57,12.82,14.23,14.51,14.79,15.07,16.48,16.48,16.62,16.76,18.59,18.59,18.73,19.01,19.86,18.73,17.47,16.48,13.24
6,8.881,10.85,13.1,14.51,14.79,15.07,15.36,16.76,16.76,16.9,17.04,18.87,18.87,19.01,19.3,19.86,18.45,17.19,16.2,12.96
7,9.163,11.13,13.39,14.79,15.07,16.48,15.64,17.04,17.04,17.19,17.33,19.16,19.16,19.3,19.58,19.58,18.17,16.9,15.92,12.68
8,10.57,12.54,14.79,16.2,16.48,16.48,17.04,18.45,18.45,18.59,18.73,19.44,19.44,19.3,19.01,18.17,16.76,15.5,14.51,11.27
9,10.57,12.54,14.79,16.2,16.48,16.62,17.04,18.45,18.45,18.59,18.73,19.44,19.44,19.3,19.01,18.17,16.76,15.5,14.51,11.27
10,10.71,12.68,14.93,16.34,16.62,16.76,17.19,18.59,18.59,18.73,18.87,19.3,19.3,19.16,18.87,18.03,16.62,15.36,14.37,11.13
11,10.85,12.82,15.07,16.48,16.76,18.59,17.33,18.73,18.73,18.87,19.01,19.16,19.16,19.01,18.73,17.89,16.48,15.21,14.23,10.99
12,12.68,14.65,16.9,18.31,18.59,18.59,19.16,19.44,19.44,19.3,19.16,17.33,17.33,17.19,16.9,16.06,14.65,13.39,12.4,9.163
13,12.68,14.65,16.9,18.31,18.59,18.73,19.16,19.44,19.44,19.3,19.16,17.33,17.33,17.19,16.9,16.06,14.65,13.39,12.4,9.163
14,12.82,14.79,17.04,18.45,18.73,19.01,19.3,19.3,19.3,19.16,19.01,17.19,17.19,17.04,16.76,15.92,14.51,13.24,12.26,9.022
15,13.1,15.07,17.33,18.73,19.01,19.3,19.58,19.01,19.01,18.87,18.73,16.9,16.9,16.76,16.48,15.64,14.23,12.96,11.98,8.741
16,13.95,15.92,18.17,19.58,19.86,19.86,19.58,18.17,18.17,18.03,17.89,16.06,16.06,15.92,15.64,14.79,13.39,12.12,11.13,7.896
17,15.36,17.33,19.58,19.01,18.73,18.45,18.17,16.76,16.76,16.62,16.48,14.65,14.65,14.51,14.23,13.39,11.98,10.71,9.726,6.489
18,16.63,18.59,19.16,17.75,17.47,17.19,16.9,15.5,15.5,15.36,15.21,13.39,13.39,13.24,12.96,12.12,10.71,9.444,8.459,5.222
19,17.61,19.58,18.17,16.76,16.48,16.2,15.92,14.51,14.51,14.37,14.23,12.4,12.4,12.26,11.98,11.13,9.726,8.459,7.474,4.237
20,19.61,17.19,14.93,13.53,13.24,12.96,12.68,11.27,11.27,11.13,10.99,9.163,9.163,9.022,8.741,7.896,6.489,5.222,4.237,1
